paper_id,doc_id,title,doc
2112.06905,2112.06905_0,GLaM Efficient Scaling of Language Models with Mixture-of-Experts.pdf,"GLaM: Efficient Scaling of Language Models with Mixture-of-Experts
Nan Du“! Yanping Huang”! Andrew M. Dai”! Simon Tong! Dmitry Lepikhin' Yuanzhong Xu! Maxim Krikun! Yanqi Zhou! Adams Wei Yu! Orhan Firat! Barret Zoph! Liam Fedus! Maarten Bosma! Zongwei Zhou! Tao Wang! Yu Emma Wang! Kellie Webster! Marie Pellat'! Kevin Robinson! Kathleen Meier-Hellstern'! Toju Duke! Lucas Dixon! Kun Zhang! Quoc V Le! Yonghui Wu! Zhifeng Chen! Claire Cui!

Abstract
Scaling language models with more data, compute and parameters has driven significant progress in natural language processing. For example, thanks to scaling, GPT-3 was able to achieve strong re- sults on in-context learning tasks. However, train- ing these large dense models requires significant amounts of computing resources. In this paper, we propose and develop a family of language mod- els named GLaM (Generalist Language Model), which uses a sparsely activated mixture-of-experts architecture to scale the model capacity while also incurring substantially less training cost compared to dense variants. The largest GLaM has 1.2 tril- lion parameters, which is approximately 7x larger than GPT-3. It consumes only 1/3 of the energy used to train GPT-3 and requires half of the com- putation flops for inference, while still achieving better overall zero, one and few-shot performance across 29 NLP tasks.
Table 1. Comparison between GPT-3 and GLaM. In a nutshell, GLaM outperforms GPT-3 across 21 natural language understand- ing (NLU) benchmarks and 8 natural language generative (NLG) benchmarks in average while using about half the FLOPs per token during inference and consuming about one third the energy for training.
feasibility of in-context learning for few-shot or even zero- shot generalization, meaning very few labeled examples are needed to achieve good performance on NLP applications. While being effective and performant, scaling further is be- coming prohibitively expensive and consumes significant amounts of energy (Patterson et al., 2021)."
2112.06905,2112.06905_1,GLaM Efficient Scaling of Language Models with Mixture-of-Experts.pdf,"1. Introduction
Language models have played an important role in the progress of natural language processing (NLP) in the past decade. Variants of language models have been used to pro- duce pretrained word vectors (Mikolov et al., 2013; Penning- ton et al., 2014), and contextualized word vectors (Peters et al., 2018; Devlin et al., 2019) for many NLP applications. The shift towards scaling with more data and larger mod- els (Shazeer et al., 2017; Huang et al., 2019; Kaplan et al., 2020) has enabled complex natural language tasks to be per- formed with less labeled data. For example, GPT-3 (Brown et al., 2020) and FLAN (Wei et al., 2021) demonstrated the
“Equal contribution 'Google. Correspondence to: Nan Du, Yanping Huang, and Andrew M. Dai <dunan@google.com, huangyp @ google.com, adai@ google.com>.
Proceedings of the 39*"" International Conference on Machine Learning, Baltimore, Maryland, USA, PMLR 162, 2022. Copy- right 2022 by the author(s)."
2112.06905,2112.06905_2,GLaM Efficient Scaling of Language Models with Mixture-of-Experts.pdf,"Proceedings of the 39*"" International Conference on Machine Learning, Baltimore, Maryland, USA, PMLR 162, 2022. Copy- right 2022 by the author(s).
In this work, we show that a large sparsely activated network can achieve competitive results compared to state-of-the-art dense models on few-shot tasks while being more compu- tationally efficient. We present a family of generalist lan- guage models called GLaM, that strike a balance between dense and conditional computation. The largest version of GLaM has 1.2T parameters in total with 64 experts per MoE layer (Shazeer et al., 2017; Lepikhin et al., 2021; Fe- dus et al., 2021) where each token in the input batch only activates a subnetwork of 96.6B (8% of 1.2T) parameters. On zero, one and few-shot learning, this model compares favorably to GPT-3 (175B), with significantly improved learning efficiency across 29 public NLP benchmarks, rang- ing from language completion tasks, open-domain QA tasks, to natural language inference tasks. Thanks to the sparsely activated architecture and the efficient implementation of the model parallelism algorithm, the total energy consumption during training is only one third of GPT-3’s. We highlight the comparison between the largest version of GLaM and GPT-3 in Table 1 and Figure 1.
We use GLaM to study the importance of data. Our analysis shows that even for these large models, data quality should not be sacrificed for quantity if the goal is to produce a high- quality auto-regressive language model. More importantly, on social dimensions, our results are also the first, to our knowledge, to close the performance gap between stereo- typical and anti-stereotypical examples on the WinoGender benchmark, suggesting that large, sparsely activated models may rely less on superficial statistical correlations."
2112.06905,2112.06905_3,GLaM Efficient Scaling of Language Models with Mixture-of-Experts.pdf,"to improve various language understanding tasks. More re- cently, models that used Transformers (Vaswani et al., 2017) showed that larger models with self-supervision on unla- beled data could yield significant improvements on NLP tasks (Devlin et al., 2019; Yang et al., 2019; Liu et al., 2019; Clark et al., 2020). Transfer learning based on pre-training and finetuning (Raffel et al., 2020; Houlsby et al., 2019) has been extensively studied and demonstrated good perfor- mance on downstream tasks. However, a major limitation to this method is that it requires a task-specific fine-tuning.
Finally, although MoE-based sparse models are not yet com- mon in the NLP community, our work shows that sparse decoder-only language models can be more performant than the dense architectures of similar compute FLOPs for the first time within the few-shot in-context learning setting at scale, suggesting that sparsity is one of the most promising directions to achieve high-quality NLP models while saving energy costs (Patterson et al., 2021). MoE should therefore be considered as a strong candidate for future scaling.
In-Context Few-shot Learning. GPT-3 (Brown et al., 2020) and related work (Shoeybi et al., 2019; Lieber et al., 2021; Wei et al., 2021) demonstrated that scaling up lan- guage models greatly improves task-agnostic, few-shot per- formance. These language models are applied without any gradient updates, and only few-shot demonstrations speci- fied purely via text interactions with the model are needed."
2112.06905,2112.06905_4,GLaM Efficient Scaling of Language Models with Mixture-of-Experts.pdf,"2. Related Work
Language models. Neural language models (Mikolov et al., 2010; Sutskever et al., 2011) have been shown to be useful for many natural language processing tasks. Word em- bedding models and extensions such as word2vec (Mikolov et al., 2013), GloVe (Pennington et al., 2014) and paragraph vectors (Le & Mikolov, 2014) have shown good generaliza- tion to many tasks simply by transferring the embeddings.
Pre-training and Fine-tuning. The abundance of com- pute and data enables training increasingly large models via unsupervised pre-training. This is a natural fit for training neural networks as they exhibit remarkable scalability. Work on using recurrent models such as RNNs and LSTMs for language representation (Dai & Le, 2015; Kiros et al., 2015) showed that general language models could be fine-tuned
Sparsely Gated Networks. Mixture-of-Experts based models have also shown significant advantages. For lan- guage modeling and machine translation, Shazeer et al. (2017) showed that they could effectively use a very large number of weights while only needing to compute a small subset of the computation graph at inference time. There has also been work on scaling sparsely activated MoE ar- chitectures (Hestness et al., 2017; Shazeer et al., 2018; Lep- ikhin et al., 2021; Kudugunta et al., 2021). Recently, Fedus et al. (2021) showed results with even larger | trillion pa- rameter sparsely activated models (Switch-C). Although both Switch-C and the largest GLaM model have one tril- lion number of trainable parameters, GLaM is a family of decoder-only language models, and Switch-C is an encoder- decoder based sequence to sequence model. Furthermore, Switch-C is mainly evaluated on fine-tuning benchmarks, e.g., SuperGlue, while GLaM performs well without any"
2112.06905,2112.06905_5,GLaM Efficient Scaling of Language Models with Mixture-of-Experts.pdf,"Table 2. A sample of related models (Devlin et al., 2019; Raffel et al., 2020; Brown et al., 2020; Lieber et al., 2021; Rae et al., 2021; Shoeybi et al., 2019; Lepikhin et al., 2021; Fedus et al., 2021) pre-trained on text corpora. Nparams is the total number of trainable model parameters, Mact-params is the number of activated model parameters per input token.
need for fine-tuning in the few-shot setting shared by GPT-3 where SuperGlue is a subset. Table 2 summarizes the key differences between GLaM and related models pre-trained on text corpora."
2112.06905,2112.06905_6,GLaM Efficient Scaling of Language Models with Mixture-of-Experts.pdf,"3. Training Dataset
To train our model, we build a high-quality dataset of 1.6 trillion tokens that are representative of a wide range of natural language use cases. Web pages constitute the vast quantity of data in our unlabeled dataset. However, their quality ranges from professional writing to low-quality com- ment and forum pages. Similarly to Brown et al. (2020), we develop our own text quality classifier to produce a high- quality web corpus out of an original larger raw corpus. We use a feature hash based linear classifier for inference speed. This classifier is trained to classify between a collection of curated text (Wikipedia, books and a few selected web- sites) and other webpages. We use this classifier to estimate the content quality of a webpage. We then apply this clas- sifier by using a Pareto distribution to sample webpages according to their score. This allows some lower-quality webpages to be included to prevent systematic biases in the classifier (Brown et al., 2020).
are"
2112.06905,2112.06905_7,GLaM Efficient Scaling of Language Models with Mixture-of-Experts.pdf,"blue
Figure 2. GLaM model architecture. Each MoE layer (the bottom block) is interleaved with a Transformer layer (the upper block). For each input token, e.g., ‘roses’, the Gating module dynamically selects two most relevant experts out of 64, which is represented by the blue grid in the MoE layer. The weighted average of the outputs from these two experts will then be passed to the upper Transformer layer. For the next token in the input sequence, two different experts will be selected.
of webpages and combine this with books, Wikipedia pages, forums and news pages and other data sources to create the final GLaM dataset. We also incorporate the data from pub- lic domain social media conversations used by Adiwardana et al. (2020). We set the mixture weights based on the perfor- mance of each component in a smaller model and to prevent small sources such as Wikipedia from being over-sampled. Table 3 shows the details of our data component sizes and mixture weights. The mixture weights were chosen based on the performance of the component in a small model and to prevent small datasets such as Wikipedia from being over- sampled. To check data contamination, in Section D we conduct an overlap analysis between our training set and the evaluation data and find that it roughly matches that of previous work (Brown et al., 2020)."
2112.06905,2112.06905_8,GLaM Efficient Scaling of Language Models with Mixture-of-Experts.pdf,"4. Model Architecture
We leverage sparsely activated Mixture-of-Experts (MoE) (Shazeer et al., 2017; Fedus et al., 2021) in GLaM models. Similar to the GShard MoE Transformer (Lepikhin et al., 2021), we replace the feed-forward component of every other Transformer layer with an MoE layer, as shown in Figure 2. Each MoE layer consists of a collection of independent feed-forward networks as the ‘experts’. A
We use this process to generate a high-quality filtered subset
gating function then uses a softmax activation function to model a probability distribution over these experts. This distribution indicates how well each expert is able to process the incoming input.
Even though each MoE layer has many more parameters, the experts are sparsely activated. This means that for a given input token, only a limited subset of experts is used, giving the model more capacity while limiting computa- tion. In our architecture, the subset size is two!. Each MoE layer’s learnable gating network is trained to use its input to activate the best two experts for each token of an input sequence. During inference, the learned gating network dynamically picks the two best experts for each token. For an MoE layer with F experts, this essentially provides a collection of O(E) different combinations of feed-forward networks instead of one in the classic Transformer architec- ture, leading to much more computational flexibility. The final learned representation of a token will be the weighted combination of the outputs from the selected experts."
2112.06905,2112.06905_9,GLaM Efficient Scaling of Language Models with Mixture-of-Experts.pdf,"the hidden dimension of the feed-forward network, L is the number of layers and N is the number of total devices. Additionally, nparams is the total number of trainable model parameters, Mact-params is the number of activated model parameters per input token, Meads is the number of self- attention heads, and dyeaq is the hidden dimension of each attention head. We also include the respective dense models with comparable numbers of activated parameters per-token during inference (and thus similar numbers of per-token FLOPs) as references. We adopt the notation of
GLaM (Base Dense Size/E) e.g., GLaM (8B/64E)
to describe different variants in the GLaM models. For example, GLaM (8B/64E) represents the architecture of an approximate 8B parameter dense model with every other layer replaced by a 64 expert MoE layer. GLaM reduces to a dense Transformer-based language model architecture when each MoE layer only has one expert. We use the notation
We also make additional modifications to the original Trans- former architecture. We replace the standard positional embedding with per-layer relative positional bias from Dai et al. (2019). In the non-MoE Transformer feed-forward sub-layers, we replace the first linear projection and the ac- tivation function with the Gated Linear Unit (Dauphin et al., 2017; Shazeer, 2020), which computes the component-wise product of two linear transformation of the input, followed by a Gaussian Error Linear Unit (Hendrycks & Gimpel, 2016) activation function. We partition the weights and computation of large GLaM models using the 2D shard- ing algorithm as described in Xu et al. (2021), which is described in more details in the Section C of the appendix."
